Name,Layer,Subline,World,Type,HQ City,HQ State,HQ Country,Region,Founded,Total Funding ($M),Active Fleet,Real Miles (M),Simulated Miles (M),Spoken With,Exited,Acquired By,L4 Passenger Operator,Op Maturity,About,Known For,Website,Operating Footprint,Leadership,Business Model,Financing Notes,Investors Notes,Deployment Notes,Metrics Notes,Signal,Partner Count,Partners,Salience Score
VSI Labs,"Data, Maps & Simulation",Hands-on independent benchmarking of AV stacks and sensors,Passenger loop,Company,USA,MN,US,North America,2014,,,,,,,,,Commercial-limited,"Independent AV/ADAS research, benchmarking and test services firm known for hands-on evaluation of autonomy stacks and sensors.",,,"North America, global research audience","Phil Magney, Founder and President","Research subscriptions, testing services, consulting and benchmarking.",Private,,US-based test programs and industry research reports,"Useful independent source for sensor and AV stack evaluation, especially for market diligence",Small but credible validation/research node for strategy and BD readers,0,,10
Waabi World,"Data, Maps & Simulation",Closed-loop mixed-reality sim proving the Waabi Driver,Passenger loop,Company,Toronto,ON,Canada,North America,2021,,,,,,,,,Driverless pilot / development,Waabi's closed-loop simulator and mixed-reality testing environment for its autonomous truck and robotaxi software stack.,,https://waabi.ai,"North America, with US trucking/robotaxi plans","Raquel Urtasun, Founder and CEO",Internal platform enabling Waabi Driver development; strategic differentiator for autonomy licensing/deployment.,Late-stage private,,Used internally for Waabi trucking and robotaxi development; tied to Volvo and Uber partnerships,"Reports in 2026 describe Waabi raising heavily and partnering with Uber for robotaxis, while Waabi World remains core to its validation narrative",Important because it represents simulator-first autonomy rather than simulation as a separate vendor product,0,,8
Woven by Toyota,"Data, Maps & Simulation",Arene vehicle OS plus the Woven City testbed near Mount Fuji,Passenger loop,Company,Tokyo,,Japan,Asia-Pacific,2021,,,,,,,,,Commercial-limited,"Toyota's software and mobility subsidiary, combining Arene vehicle OS, automated-driving work, Woven City, and acquired mapping/autonomy teams.",,https://woven.toyota,"Japan, US, global Toyota ecosystem","Hajime Kumabe, CEO; Daisuke Toyoda, SVP","Toyota-funded internal software platform, testbed and technology development arm.",Subsidiary,Toyota Motor Corporation,Toyota ecosystem; Woven City testbed near Mount Fuji; Arene rollout tied to Toyota vehicles,Acquired Lyft Level 5 and CARMERA; Toyota has used Woven City as a mobility test course,Strategic internal platform for Toyota's software-defined vehicle and future autonomy programs,1,Toyota,10
5G Automotive Association,Connectivity & Infrastructure,Automaker-telecom alliance steering the C-V2X 2030 roadmap,Passenger loop,Association/Advocacy,Munich,,Germany,Europe,2016,,,,,,,,,Commercial-scaled / Association,"Industry association promoting cellular vehicle-to-everything and 5G-based connected mobility, linking automakers, telecom firms and chipmakers.",,https://5gaa.org,Global,"Maxime Flament, CTO; board leadership rotates",Membership association; standards advocacy and roadmapping,Association,,Global standards and policy influence,Published updated 2030 roadmap in Dec 2024 according to public summaries,"Acts as the connective tissue for V2X policy, spectrum and interoperability",0,,12
Alibaba Cloud,Connectivity & Infrastructure,Edge cloud and city brain for China's vehicle-road-cloud push,Passenger loop,Company,Hangzhou,,China,Greater China,2009,,,,,,,,,Commercial-scaled,"Cloud provider with smart transportation, city brain and edge cloud offerings relevant to vehicle-road-cloud coordination in China.",,https://alibabacloud.com,China; Asia; global cloud footprint,"Eddie Wu, Alibaba CEO; cloud leadership verify","Cloud infrastructure, AI and data services",Subsidiary,,China smart-city and enterprise cloud deployments,Road-cloud integration is a distinctive feature of China's AV ecosystem,"Cloud provider role belongs in relationship mapping, not only compute",0,,9
Autocrypt,Connectivity & Infrastructure,V2X PKI and credentialing security from pilot to production fleets,Passenger loop,Company,Seoul,,South Korea,Asia-Pacific,2019,,,,,,,,,Commercial-scaled,"Automotive cybersecurity and V2X security company spun out from Penta Security, focused on V2X PKI, in-vehicle security, plug-and-charge and fleet security.",,https://autocrypt.io,Korea; US; Europe; Asia,"Daniel ES Kim, CEO; verify",Cybersecurity software; V2X PKI; compliance services,Private; venture-backed; latest funding not verified,,Korean and global connected-vehicle/security programs,V2X PKI role makes it a bridge between connectivity and cybersecurity,Relevant as V2X deployments move from pilots to production-grade credentialing,0,,9
Autotalks,Connectivity & Infrastructure,"Fabless V2V/V2I chipmaker, now under Qualcomm's roof",Passenger loop,Company,Kfar Netter,,Israel,Middle East & Africa,2008,,,,,,,,,Commercial-scaled,Fabless V2X chip specialist for vehicle-to-vehicle and vehicle-to-infrastructure communications. Now treated as Qualcomm-owned but legally sensitive due China antitrust review.,,https://autotalks.com,Global via Qualcomm and Tier-1/OEM partners,"Hagai Zyss, CEO historically",V2X chipset sales through OEM/Tier-1 channels,Subsidiary / acquired by Qualcomm,"Qualcomm (acquired ~$90M, 2025)",V2X chip deployments and trials globally; exact vehicle programs need verification,Acquisition completed in June 2025 according to China regulator account,Status updated from failed 2024 acquisition to completed 2025 acquisition under scrutiny,1,Qualcomm,12
AVL,Connectivity & Infrastructure,Powertrain-to-ADAS validation labs behind global OEM programs,Passenger loop,Company,Graz,,Austria,Europe,1948,,,,,,,,,Commercial-scaled,"Powertrain, vehicle development, testing and simulation company with ADAS/AD validation, scenario and test systems.",,https://avl.com,Global automotive engineering customers,"Helmut List, Chairman/CEO historically; verify current leadership","Engineering services, test systems, simulation software and development programs.",Private,List family,Global OEM and supplier engineering programs,Active in virtual and physical testing workflows for ADAS and automated driving,Important Tier-1-like engineering services and validation partner for OEM programs,0,,11
Baidu Apollo ACE / Vehicle-Road-Cloud,Connectivity & Infrastructure,Vehicle-road-cloud backbone beneath China's robotaxi cities,Passenger loop,Company,Beijing,,China,Greater China,2013,,,,,,,,,Commercial-scaled,"Baidu's Apollo ecosystem includes autonomous driving, robotaxi, maps, cloud and vehicle-road-cloud infrastructure capabilities for Chinese smart transportation pilots.",,https://apollo.auto,China; Gulf pilots through Apollo Go ecosystem,"Robin Li, Baidu CEO; Apollo leadership verify","Cloud, AV operations, platform licensing and government/city projects",Subsidiary / business unit,,Chinese robotaxi and smart-transport deployments; overseas Apollo Go expansion,China's robotaxi scale is tightly linked to local road-cloud ecosystems,Anchor of Chinese AV infrastructure relationships,0,,12
Block Harbor,Connectivity & Infrastructure,Vehicle security engineering and SOC services for US OEMs,Passenger loop,Company,Detroit,MI,US,North America,2014,,,,,,,,,Commercial-limited,"Automotive cybersecurity services and platform firm focused on vehicle security engineering, testing, security operations and vulnerability management.",,,US; Europe,"Brandon Barry, CEO and founder",Security services; platform; managed services,Private,,OEM/supplier engagements; exact customer list not verified,US automotive cyber talent and services node,Useful BD target for OEM compliance and vulnerability operations,0,,7
C2A Security,Connectivity & Infrastructure,EVSec DevSecOps platform; Daimler Truck enterprise-wide,Passenger loop,Company,Jerusalem,,Israel,Middle East & Africa,2016,,,,,,,,,Commercial-scaled,"Automotive cybersecurity and DevSecOps company behind EVSec, focused on risk management, compliance automation and product security across the vehicle lifecycle.",,https://c2a-sec.com,Global,"Roy Fridman, CEO",Cybersecurity SaaS / platform licensing,Private,,Daimler Truck and other OEM/supplier users reported,Daimler Truck global enterprise agreement announced in 2024; EVSec supports CSMS compliance,Compliance automation is becoming a strong buying trigger under UNECE and China rules,0,,12
Cavnue,Connectivity & Infrastructure,"Roadside, smart-city & digital infrastructure; Curb / PUDO / parking",Passenger loop,Company,USA,DC,US,North America,2020,,,,,,,,,Pilot / infrastructure development,"Smart-road infrastructure developer building sensorized corridors that give agencies and automated vehicles better roadway condition, hazard and traffic data.",,https://cavnue.com,United States,"Tyler Duvall, CEO","Infrastructure development, public-private partnerships, data services",Private; backed by Sidewalk Infrastructure Partners,"Ford, Sidewalk Infrastructure Partners; Consor","Michigan I-94, Texas SH 130, Savannah freight corridor and other projects",I-94 three-mile sensor deployment; Savannah freight corridor announced 2025,Most visible US smart-road corridor specialist for freight and AV-readiness,0,,8
China Mobile,Connectivity & Infrastructure,Carrier muscle behind China's C-V2X and road-cloud pilots,Passenger loop,Company,Beijing,,China,Greater China,1997,,,,,,,,,Commercial-scaled,"China's largest mobile operator and a major infrastructure participant in 5G, edge and C-V2X deployments in Chinese pilot zones.",,,China; selected international,"Dong Xin, Chairman; verify","Telecom services, enterprise networks and infrastructure",Public / state-influenced,,Chinese national mobile network and smart-city pilots,China's C-V2X ecosystem depends heavily on carrier infrastructure,Essential Chinese node for cooperative driving and road-cloud integration,0,,11
China TransInfo / Qianfang Technology,Connectivity & Infrastructure,ITS contractor wiring Chinese traffic management at scale,Passenger loop,Company,Beijing,,China,Greater China,2000,,,,,,,,,Commercial-scaled,"Chinese intelligent transportation systems provider with traffic management, smart city and road infrastructure capabilities.",,,China,"Xia Shuguang, founder/chairman; verify","ITS systems, software, infrastructure and public-sector contracts",Public,,Chinese road-agency and smart-city deployments,Represents China's large domestic ITS contractor base,Needs deeper Chinese-language source verification before publication,0,,11
China Unicom,Connectivity & Infrastructure,5G edge and V2X networks across China's AV pilot zones,Passenger loop,Company,Beijing,,China,Greater China,2000,,,,,,,,,Commercial-scaled,"Chinese mobile operator involved in 5G, edge cloud and connected-vehicle deployments in smart city and autonomous-driving pilot zones.",,,China; selected international,"Chen Zhongyue, Chairman; verify",Telecom services and enterprise networks,Public / state-influenced,,Chinese mobile network and city pilot programs,Carrier edge and V2X networks are core to China road-cloud approach,Important Chinese connectivity player requiring deeper Chinese-language verification,0,,11
Cohda Wireless,Connectivity & Infrastructure,DSRC and C-V2X radios inside global connected-road trials,Passenger loop,Company,Adelaide,,Australia,Asia-Pacific,2004,,,,,,,,,Commercial-scaled,V2X radio and software specialist for DSRC/ITS-G5/C-V2X onboard and roadside units.,,https://cohdawireless.com,US; Europe; Australia; Asia,"Paul Gray, CEO; verify current leadership","V2X modules, RSUs, software and integration services",Subsidiary / private; ownership requires verification,Danlaw (acquired 2024),Connected-vehicle trials and production infrastructure programs globally,Known V2X supplier in pilots; exact 2026 deployment count not verified,US C-V2X spectrum finalization increases addressable market,0,,11
Commsignia,Connectivity & Infrastructure,Roadside units and V2X stacks for smart-corridor buildouts,Passenger loop,Company,Santa Clara,CA,US,North America,2012,,,,,,,,,Commercial-scaled,"V2X software, roadside-unit and security-stack provider for connected vehicle deployments and smart infrastructure.",,https://commsignia.com,US; Europe; Asia,"Laszlo Kisbenedek, CEO",V2X software/hardware licensing; RSUs; PKI and deployment services,Private; venture-backed; latest round not verified,"LG, Samsung Catalyst, Qualcomm Ventures","Municipal, road-operator and OEM deployments across US/EU pilots",Recognized as a leading C-V2X / ITS-G5 supplier; deployment counts need verification,US C-V2X spectrum clarity increases relevance of RSU and interoperability vendors,0,,11
Cybellum,Connectivity & Infrastructure,"SBOM-driven product security, now part of LG Electronics",Passenger loop,Company,Tel Aviv,,Israel,Middle East & Africa,2016,,,,,,,,,Commercial-scaled,"Product security platform for automotive and medical device software supply chains, acquired by LG Electronics but still a relevant automotive SBOM and vulnerability-management player.",,https://cybellum.com,Global,"Slava Bronfman, co-founder and CEO; verify",Product security software; SBOM and vulnerability management,Subsidiary,,OEM and supplier product security programs,Software supply-chain governance is increasingly mandatory for connected vehicles,"Strong fit for software composition, SBOM and compliance workflows",0,,12
Derq,Connectivity & Infrastructure,"Roadside AI predicting crashes before they happen, Dubai-backed",Passenger loop,Company,Dubai,,UAE,Middle East & Africa,2016,,,,,,,,,Commercial-limited,AI road-safety and connected-infrastructure company using roadside perception and predictive analytics to reduce crashes and support smart-city mobility.,,https://derq.com,US; UAE; Gulf; selected international,"Georges Aoude, co-founder and CEO",Infrastructure analytics SaaS; roadside sensing; agency contracts,Private; venture-backed,AT&T (strategic),Road safety deployments and pilots in UAE and US; exact scale needs verification,Early Dubai government support and US auto ecosystem presence,Gulf smart-mobility ambitions make Derq strategically relevant,0,,10
Designated Driver,Connectivity & Infrastructure,Early mover in remote operations for stuck autonomous fleets,Passenger loop,Company,Portland,OR,US,North America,2018,,,,,,,,,R&D / Commercial-limited,Remote operations platform for autonomous and industrial vehicles; important early-category reference but current scale needs re-verification.,,,US,"Walter Sullivan, CEO; historical leadership needs verification",Teleoperation platform services,Private; current status unclear,,Operating quietly — surfaced through my independent research into teleoperation and remote assistance; I'd welcome a first-hand update.,No current verified metric found,Flagged for re-verification before publication,0,,7
DriveU.auto,Connectivity & Infrastructure,Low-latency video transport that keeps remote drivers in sync,Passenger loop,Company,Kfar Saba,,Israel,Middle East & Africa,2019,21,,,,,,,,Commercial supplier,"Connectivity platform focused on low-latency video and data transport for remote driving, autonomous vehicles, robots and drones.",,https://driveu.auto,US; Europe; Israel; Asia,"Alon Podhurst, CEO",Connectivity software/platform licensing; fleet and AV customer integrations,Private; funding not verified,Blue Ocean CVC,"Used in AV, robotics and remote operation pilots; exact customer list needs verification",Latency and bandwidth management are the differentiators,Still relevant as telecom/latency becomes the limiting factor for remote driving,0,,7
Econolite,Connectivity & Infrastructure,Signal controllers in thousands of North American intersections,Passenger loop,Company,Anaheim,CA,US,North America,1933,,,,,,,,,Commercial-scaled,"Traffic-controller, signal systems and ITS company with a large installed base in North American intersections.",,https://econolite.com,US; selected international,"Mike Doyle, CEO; verify","Traffic hardware, software, support and integration",Private,,Broad North American agency footprint,Installed-base strength matters for upgrading intersections to connected status,Key incumbent for retrofit paths to V2X and smart intersections,0,,11
Ericsson,Connectivity & Infrastructure,5GAA founding networks for teleoperation and cooperative driving,Passenger loop,Company,Stockholm,,Sweden,Europe,1876,,,,,,,,,Commercial-scaled,"Telecom infrastructure company and founding 5GAA participant. In AVs, its role is 5G network infrastructure, edge connectivity and standards influence rather than vehicle autonomy.",,https://ericsson.com,Global,"Börje Ekholm, CEO","Telecom equipment, software, managed services and licensing",Public,,Global mobile networks and enterprise connectivity deployments,5GAA founding member and V2X standards participant,Important for the network layer behind teleoperation and cooperative driving,0,,14
ETAS / ESCRYPT,Connectivity & Infrastructure,Bosch's embedded software arm with ESCRYPT vehicle security,Passenger loop,Company,Stuttgart,,Germany,Europe,1994,,,,,,,,,Commercial-scaled,"Bosch subsidiary providing automotive software, middleware, embedded systems and cybersecurity, with ESCRYPT as its security brand historically.",,https://etas.com,Global,"Christoph Hartung, President of ETAS; verify","Software, security and engineering services",Subsidiary,,Global OEM/Tier-1 customer base,Automotive cybersecurity integrated with Bosch/ETAS software toolchain,Relevant because cybersecurity is increasingly bundled with SDV engineering stacks,0,,12
Fernride,Connectivity & Infrastructure,Teleoperation-first electric trucking for yards and ports,Passenger loop,Company,Munich,,Germany,Europe,2019,87,,,,,,,,Commercial-limited,"Autonomous electric trucking company using supervised autonomy and teleoperation for yard, port and logistics applications. It is adjacent to on-road AVs where freight facilities connect to road freight networks.",,https://fernride.com,"Europe, especially logistics yards and ports","Hendrik Kramer, co-founder and CEO",Autonomous trucking-as-a-service; fleet operations; software and retrofit services,Private; Series A/B information requires re-verification,"10X Capital, DeepTech & Climate Fonds","Logistics yards, ports and industrial routes; on-road expansion unclear","Out-of-scope for pure yard, but relevant for road-logistics teleoperation pattern",Teleoperation-first freight model is a pragmatic bridge to driverless logistics,0,,10
Fibocom,Connectivity & Infrastructure,Cellular modules riding the connected-vehicle supply chain,Passenger loop,Company,Shenzhen,,China,Greater China,1999,,,,,,,,,Commercial-scaled,Chinese wireless module provider serving automotive and IoT customers. Included for connected-vehicle supply-chain and national-security exposure.,,https://fibocom.com,Global,"Tiger Ying, CEO; verify",Cellular and GNSS module sales,Public,,Global cellular-module customer base; exact automotive programs need verification,China-linked module suppliers are under US compliance pressure,Supplier risk and substitution candidate mapping is material for OEMs,0,,11
GridMatrix,Connectivity & Infrastructure,"Street-network analytics for safety, congestion and emissions",Passenger loop,Company,Cupertino,CA,US,North America,2021,,,,,,,,,R&D / Commercial-limited,"Traffic analytics platform using computer vision and connected data to measure safety, congestion and emissions at the street network level.",,,US,"Jeffrey DeCoux, CEO; verify",Traffic data SaaS for agencies,Private; early-stage,,US city/state pilots; exact count not verified,Represents the emerging analytics layer around smart streets,Watchlist player for cities seeking lightweight road intelligence,0,,7
GuardKnox,Connectivity & Infrastructure,Secure zonal computers for software-defined vehicles,Passenger loop,Company,Ramla,,Israel,Middle East & Africa,2016,,,,,,,,,Commercial-limited,Automotive cybersecurity and zonal architecture company focused on secure high-performance vehicle computers and software-defined vehicle platforms.,,https://guardknox.com,US; Europe; Israel,"Moshe Shlisel, co-founder and CEO; verify",Hardware/software platform sales; cybersecurity licensing,Private; venture-backed; current status needs re-verification,,OEM and specialty-vehicle programs; exact current deployments unclear,Positioned around secure zonal architecture for SDVs,Treat as watchlist because current commercial scale is less transparent,0,,7
Harman,Connectivity & Infrastructure,Savari V2X software folded into connected-car platforms,Passenger loop,Company,Stamford,CT,US,North America,1980,,,,,,,,,Commercial-scaled,"Connected-vehicle, infotainment and V2X supplier. Its Savari acquisition gave it V2X software and roadside-unit capabilities.",,https://harman.com,Global,"Christian Sobottka, President of Harman Automotive; leadership to verify","Automotive electronics, connected car software and services",Subsidiary,,Global OEM and infrastructure customer base,Savari V2X assets position Harman in connected road safety,Continues to matter where V2X is bundled into broader connected-car platforms,0,,12
Hayden AI,Connectivity & Infrastructure,Bus-lane and curb enforcement vision cities already run,Passenger loop,Company,San Francisco,CA,US,North America,2019,,,,,,,,,Commercial-scaled,"Computer vision company used for bus-lane, curb, parking and traffic enforcement. Relevant to AVs because curb access and PUDO enforcement are operating constraints for robotaxis.",,https://hayden.ai,US; Europe pilots,"Chris Carson, co-founder and CEO; verify",AI enforcement SaaS; camera systems; city contracts,Private; venture-backed,,"Transit and city deployments, especially bus-lane enforcement",Curb and bus-lane enforcement is becoming a robotaxi operating issue,BD fit for AV operators negotiating curb rules with cities,0,,9
Huawei,Connectivity & Infrastructure,"China's connectivity heavyweight across vehicle, cloud and road",Passenger loop,Company,Shenzhen,,China,Greater China,1987,,,,,,,,,Commercial-scaled,"Telecom, cloud, vehicle connectivity and intelligent automotive systems supplier. In China, Huawei is a major connected-vehicle and ADAS ecosystem anchor.",,https://huawei.com,China; Middle East; Europe; global telecom footprint with restrictions,"Ren Zhengfei, founder; Eric Xu and rotating chair system",Telecom equipment; cloud; automotive software/hardware partnerships,Private / employee-owned structure,,"Strong in China, Gulf and emerging markets; restricted in some Western markets",Founding 5GAA participant; major Chinese vehicle connectivity player,US/EU security restrictions make Huawei both strategically important and geopolitically constrained,0,,12
Imperium Drive / Fetch,Connectivity & Infrastructure,Remote-delivered rental cars proving UK teledriving rules,Passenger loop,Company,Milton Keynes,,UK,Europe,2019,,,,,,,,,Public pilot / Commercial-limited,"UK remote-driving startup known for Fetch, a remotely delivered car-rental/car-sharing model similar in concept to Vay but smaller in scale.",,,United Kingdom,"Koosha Kaveh, co-founder and CEO",Remote-delivered rental operations; fleet services,Private; early-stage; funding not re-verified,,UK trials and limited service areas; scale needs verification,No verified 2026 fleet metric found in this pass,Watch as a UK regulatory and insurance precedent rather than a scaled AV player,0,,7
Iteris,Connectivity & Infrastructure,"Traffic detection and road-agency software, now under Almaviva",Passenger loop,Company,Austin,TX,US,North America,2004,,,,,,,,,Commercial-scaled,"Smart mobility infrastructure company providing traffic detection, software, data and consulting for road agencies. Acquired by Almaviva in 2024.",,https://iteris.com,US; international selected,"Joe Bergera, CEO historically; verify after Almaviva acquisition","Traffic-management software, sensors, consulting and managed services",Public / acquired by Almaviva pending / historical,Public,US road agency footprint; public sector contracts,FY2023 revenue of $156.1M reported; acquired by Almaviva in 2024,"Now part of a larger digital services group, potentially improving smart-road delivery capacity",0,,14
Kapsch TrafficCom,Connectivity & Infrastructure,Tolling and traffic management converging with V2X corridors,Passenger loop,Company,Vienna,,Austria,Europe,1892,,,,,,,,,Commercial-scaled,"Provider of tolling, traffic management, connected mobility and intelligent transportation systems.",,https://kapsch.net,Europe; US; Latin America; APAC,"Georg Kapsch, CEO; verify","Tolling/ITS hardware, software and services",Public,,Global tolling and ITS deployments,Roadside units and connected-road capabilities overlap with V2X buildouts,Good fit where AV-readiness is bundled with tolling and traffic management,0,,13
Karamba Security,Connectivity & Infrastructure,Runtime ECU protection hardening embedded vehicle code,Passenger loop,Company,Hod Hasharon,,Israel,Middle East & Africa,2015,,,,,,,,,Commercial-limited,"Embedded automotive cybersecurity company focused on runtime integrity, software bill-of-materials support and ECU/edge protection.",,https://karambasecurity.com,US; Europe; Israel; Asia,"Ami Dotan, CEO; leadership to verify",Cybersecurity software licensing; OEM and supplier integrations,Private; venture-backed; latest round not verified,"YL Ventures, Liberty Mutual, Samsung Ventures",OEM/Tier-1 programs; exact active deployments not verified,SDV compliance pressure strengthens embedded-security demand,Important for ECU-level protection and software-defined vehicle security,0,,10
Miovision,Connectivity & Infrastructure,Intersection analytics with GenAI signal retiming via Mateo AI,Passenger loop,Company,Kitchener-Waterloo,,Canada,North America,2005,,,,,,,,,Commercial-scaled,"Traffic signal, intersection analytics and smart-city platform company. Important for the intersection layer that can feed connected vehicle and AV operations.",,https://miovision.com,North America; Europe,"Kurtis McBride, co-founder and CEO","Hardware, SaaS, traffic data and city agency contracts",Private; growth-stage,Insight Partners,Municipal traffic networks across North America and beyond,GTT acquisition expanded preemption/emergency vehicle priority capabilities,GenAI traffic-signal retiming platform (Mateo AI) launched (2026),0,,12
Nokia,Connectivity & Infrastructure,Private wireless and edge networks for depots and remote ops,Passenger loop,Company,Espoo,,Finland,Europe,1865,,,,,,,,,Commercial-scaled,"Telecom and networking company with private wireless, 5G and edge infrastructure relevant to connected and automated transport.",,https://nokia.com,Global,"Pekka Lundmark, CEO through 2025; verify 2026 leadership","Telecom equipment, software, licensing and enterprise networks",Public,,Global mobile and private wireless networks,5GAA founding member and V2X infrastructure participant,"Private wireless and edge networks are relevant for depots, ports and remote driving",0,,14
NoTraffic,Connectivity & Infrastructure,AI signal control digitizing intersections for mixed traffic,Passenger loop,Company,Tel Aviv,,Israel,Middle East & Africa,2017,,,,,,,,,Commercial-scaled,"AI traffic-signal platform that digitizes intersections using sensors, edge compute and cloud optimization. Relevant as city traffic-control infrastructure becomes AV-aware.",,,US; Israel; Europe,"Tal Kreisler, co-founder and CEO",Hardware and SaaS for traffic agencies,Private; venture-backed,,Deployed with multiple US municipalities; exact city count needs verification,AI intersection control links congestion management to road safety,Strong BD fit for cities preparing for mixed human/AV traffic,0,,9
Ottopia,Connectivity & Infrastructure,Remote assistance software standing behind AV fleets,Passenger loop,Company,Tel Aviv,,Israel,Middle East & Africa,2018,49,,,,,,,,Commercial supplier / pilot,"Remote assistance and remote driving software for AV fleets, shuttles, buses and premium vehicles. Its core position is remote human support for edge cases and low-speed operations.",,https://ottopia.tech,US; Israel; Europe; Asia pilots,"Amit Rosenzweig, founder and CEO",Software licensing; OEM and fleet integration; remote assistance platform services,Private; funding undisclosed in this pass,"Hyundai CRADLE, Magna, ComfortDelGro, NVIDIA","Reported integrations and pilots across cars, buses and mobility fleets",Specific customer details vary; teleoperation is an operational fallback layer,Remote Chauffeur positioning for premium vehicles and remote assistance use cases remains active,0,,10
Ouster BlueCity,Connectivity & Infrastructure,Digital lidar watching intersections instead of vehicles,Passenger loop,Company,San Francisco,CA,US,North America,2015,,,,,,,,,Commercial-limited,"Ouster's BlueCity applies digital LiDAR to intersections for traffic analytics and safety monitoring. Included here for infrastructure use, separate from Ouster's hardware role.",,https://ouster.com,US; Europe; Asia,"Angus Pacala, CEO",LiDAR hardware and analytics software,Public,,Smart intersection deployments; exact count not verified,LiDAR-based road perception is a bridge between sensing and city infrastructure,Relevant where agencies want privacy-preserving intersection perception,1,Ouster,12
Phantom Auto,Connectivity & Infrastructure,Teleoperation pioneer; operations wound down in 2024,Passenger loop,Company,South San Francisco,CA,US,North America,2017,,,,,,Yes,Shut down 2024,,Historical,"Former remote-operation platform for forklifts, yard trucks and autonomous vehicles. Included only as a historical marker because the category consolidated after the first hype cycle.",,,US; logistics and industrial sites historically,"Shai Magzimof and Elliot Katz, co-founders; historical",Historical software and services,Defunct / historical,,Operations ended before this as-of pass; not active,Historical customer and partnership base not treated as active,Defunct marker to avoid misclassifying old teleoperation press as active,0,,4
PlaxidityX (ex-Argus),Connectivity & Infrastructure,"Embedded auto cyber, ex-Argus, restructuring under Aumovio",Passenger loop,Company,Tel Aviv,,Israel,Middle East & Africa,2013,,,,,,Yes,Continental / Elektrobit (2017),,Historical,Automotive embedded cybersecurity (ex-Argus); Aumovio winding down Israel ops,,https://plaxidityx.com,,,,Subsidiary,Continental/Aumovio,,,"Aumovio shutting PlaxidityX Israel ops, ~80 laid off (Jul 2026)",0,,4
PlaxidityX / Argus Cyber Security,Connectivity & Infrastructure,Argus-born intrusion detection guarding connected fleets,Passenger loop,Company,Tel Aviv,,Israel,Middle East & Africa,2013,,,,,,,,,Commercial-scaled,"Automotive cybersecurity company formerly Argus, acquired by Continental and later rebranded PlaxidityX. Provides vehicle intrusion detection, security operations and compliance tools.",,https://plaxidityx.com,Global,"Ronen Smoly, CEO; verify current",Cybersecurity software and services; Tier-1 integration,Subsidiary,,Global OEM and supplier relationships through Continental/Elektrobit,Acquired by Continental in 2017; rebranded as PlaxidityX in 2024,Legacy auto cyber leader remains central as SDV and connected-vehicle regulation tighten,0,,12
Q-Free,Connectivity & Infrastructure,Tolling-to-ITS platforms readying corridors for autonomy,Passenger loop,Company,Trondheim,,Norway,Europe,1984,,,,,,,,,Commercial-scaled,"ITS company spanning tolling, traffic management, parking guidance and connected-road solutions.",,https://q-free.com,Europe; US; global,"Håkon Volldal, CEO; verify","ITS hardware, software, tolling and managed services",Public/private status requires re-verification,,Traffic and tolling deployments globally,Roadside infrastructure and tolling data can support AV corridor operations,Relevant in markets where tolling and traffic management converge,0,,10
Qualcomm,Connectivity & Infrastructure,Snapdragon Digital Chassis from modem to Ride SoC,Passenger loop,Company,San Diego,CA,US,North America,1985,,,,,,,,,Commercial-scaled,"Semiconductor and connectivity anchor for automotive, including Snapdragon Digital Chassis, cellular modems, C-V2X and in-vehicle compute. After acquiring Autotalks, it is more central to V2X hardware.",,https://qualcomm.com,Global,Cristiano Amon (CEO),Chip sales; licensing; automotive platform revenue,Public (NASDAQ: QCOM),Public,Global OEM and Tier-1 supply relationships,Automotive design-win pipeline is a major investor focus; exact value not re-verified in this pass,Completed Autotalks acquisition in 2025 but faced China antitrust scrutiny,1,Autotalks,14
Quectel Wireless,Connectivity & Infrastructure,IoT and vehicle modules on compliance watchlists worldwide,Passenger loop,Company,Shanghai,,China,Greater China,2010,,,,,,,,,Commercial-scaled,"Chinese cellular, GNSS and vehicle connectivity module supplier. Relevant because connected-vehicle restrictions are pushing automakers to review China-linked connectivity modules.",,https://quectel.com,Global,"Patrick Qian, CEO; verify",Module sales; OEM/Tier-1 supply,Public,,Global IoT and automotive module shipments; US/EU risk exposure,Chinese vehicle software/hardware scrutiny affects module suppliers,US connected-vehicle rules make Quectel a compliance watch item,0,,11
Rekor Systems,Connectivity & Infrastructure,Waycare-powered roadway intelligence for state agencies,Passenger loop,Company,Columbia,MD,US,North America,2017,,,,,,,,,Commercial-limited,"Roadway intelligence company using AI and computer vision to identify vehicles, roadway events and mobility patterns. Acquired Waycare, adding traffic management analytics.",,https://rekor.ai,US; selected international,"Robert Berman, CEO; verify",Roadway data SaaS; AI vision; agency and enforcement contracts,Public,,US state/local agency deployments,Waycare acquisition positioned Rekor in traffic management and roadway intelligence,Useful for cities needing continuous road-event data for mixed autonomy,0,,9
SafeRide Technologies,Connectivity & Infrastructure,In-vehicle network anomaly detection for fleet SOCs,Passenger loop,Company,Tel Aviv,,Israel,Middle East & Africa,2016,,,,,,,,,Commercial-limited,Vehicle cybersecurity and anomaly-detection company focused on in-vehicle network protection and fleet-level threat detection.,,,Global,Yossi Vardi and Gil Reiter historically; current leadership verify,Cybersecurity software licensing,Private; current status unclear,,OEM/Tier-1 pilots and programs; current scale needs verification,No current 2026 signal verified in this pass,Needs re-verification before publication,0,,7
